add-none,2,100,400,355586,888,0
add-none,2,1000,4000,370839,92,710
add-none,2,10000,40000,815630,20,31
add-none,2,100000,400000,8322169,20,-27924
add-none,4,100,800,376193,470,0
add-none,4,1000,8000,366627,45,199
add-none,4,10000,80000,1448704,18,-6287
add-none,4,100000,800000,22184331,27,-67200
add-none,8,100,1600,559798,349,0
add-none,8,1000,16000,653887,40,832
add-none,8,10000,160000,5451175,34,-2367
add-none,8,100000,1600000,59105485,36,-34261
add-none,12,100,2400,695196,289,0
add-none,12,1000,24000,705768,29,-248
add-none,12,10000,240000,7178700,29,-3462
add-none,12,100000,2400000,49985183,20,-67853
add-yield-none,2,10,40,365864,9146,0
add-yield-none,2,20,80,330718,4133,0
add-yield-none,2,40,160,373674,2335,21
add-yield-none,2,80,320,489368,1529,67
add-yield-none,2,100,400,632600,1581,37
add-yield-none,2,1000,4000,2265240,566,65
add-yield-none,2,10000,40000,21086153,527,99
add-yield-none,2,100000,400000,172845914,432,-1660
add-yield-none,4,10,80,387272,4840,9
add-yield-none,4,20,160,399152,2494,28
add-yield-none,4,40,320,408953,1277,40
add-yield-none,4,80,640,454119,709,84
add-yield-none,4,100,800,509097,636,4
add-yield-none,4,1000,8000,2289527,286,88
add-yield-none,4,10000,80000,22405698,280,-3552
add-yield-none,4,100000,800000,187655246,234,-168
add-yield-none,8,10,160,574764,3592,0
add-yield-none,8,20,320,612943,1915,32
add-yield-none,8,40,640,673763,1052,113
add-yield-none,8,80,1280,623372,487,160
add-yield-none,8,100,1600,659585,412,40
add-yield-none,8,1000,16000,3149977,196,-313
add-yield-none,8,10000,160000,26858994,167,-3665
add-yield-none,8,100000,1600000,219359727,137,-27361
add-yield-none,12,10,240,681837,2840,6
add-yield-none,12,20,480,729106,1518,48
add-yield-none,12,40,960,712989,742,127
add-yield-none,12,80,1920,782393,407,122
add-yield-none,12,100,2400,756087,315,-42
add-yield-none,12,1000,24000,3077399,128,-241
add-yield-none,12,10000,240000,26998636,112,-3346
add-yield-none,12,100000,2400000,292435309,121,-18341
add-none,2,100,400,394776,986,0
add-yield-none,2,100,400,531390,1328,39
add-none,2,1000,4000,340637,85,0
add-yield-none,2,1000,4000,2083330,520,30
add-none,2,10000,40000,1341857,33,-683
add-yield-none,2,10000,40000,18268140,456,-101
add-none,2,100000,400000,7885322,19,-13925
add-yield-none,2,100000,400000,185971392,464,-3598
add-none,8,100,1600,536580,335,0
add-yield-none,8,100,1600,590594,369,34
add-none,8,1000,16000,525712,32,665
add-yield-none,8,1000,16000,2555140,159,-227
add-none,8,10000,160000,4834021,30,-9292
add-yield-none,8,10000,160000,24063064,150,-3888
add-none,8,100000,1600000,44574364,27,-83008
add-yield-none,8,100000,1600000,233207464,145,-25955
add-none,1,1,2,297075,148537,0
add-none,1,10,20,306007,15300,0
add-none,1,100,200,315960,1579,0
add-none,1,1000,2000,308055,154,0
add-none,1,10000,20000,575370,28,0
add-none,1,100000,200000,2752723,13,0
add-none,1,1000000,2000000,24827995,12,0
add-yield-m,2,10000,40000,52893050,1322,0
add-yield-s,2,1000,4000,3723252,930,0
add-yield-c,2,10000,40000,35383920,884,0
add-yield-m,4,10000,80000,135296397,1691,0
add-yield-s,4,1000,8000,10493185,1311,0
add-yield-c,4,10000,80000,73231797,915,0
add-yield-m,8,10000,160000,339551400,2122,0
add-yield-s,8,1000,16000,28547570,1784,0
add-yield-c,8,10000,160000,158621314,991,0
add-yield-m,12,10000,240000,519424255,2164,0
add-yield-s,12,1000,24000,57508995,2396,0
add-yield-c,12,10000,240000,245549192,1023,0
add-none,1,10000,20000,604119,30,0
add-m,1,10000,20000,924516,46,0
add-s,1,10000,20000,595397,29,0
add-c,1,10000,20000,758566,37,0
add-none,2,10000,40000,1151601,28,-1858
add-m,2,10000,40000,3132744,78,0
add-s,2,10000,40000,3764312,94,0
add-c,2,10000,40000,2179549,54,0
add-none,4,10000,80000,1670715,20,-3161
add-m,4,10000,80000,15526474,194,0
add-s,4,10000,80000,21969599,274,0
add-c,4,10000,80000,7127567,89,0
add-none,8,10000,160000,3594682,22,-6251
add-m,8,10000,160000,37414352,233,0
add-s,8,10000,160000,81296944,508,0
add-c,8,10000,160000,15646913,97,0
add-none,12,10000,240000,9350804,38,-3421
add-m,12,10000,240000,53676720,223,0
add-s,12,10000,240000,198443837,826,0
add-c,12,10000,240000,35430584,147,0
